danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.534,0.462,4,-7.717,1,0.0264,0.47,2.49E-06,0.0967,0.272,101.02,audio_features,5C1sp58a5g9a4YZanB81Vi,spotify:track:5C1sp58a5g9a4YZanB81Vi,https://api.spotify.com/v1/tracks/5C1sp58a5g9a4YZanB81Vi,https://api.spotify.com/v1/audio-analysis/5C1sp58a5g9a4YZanB81Vi,227000,4
0.689,0.947,9,-4.099,1,0.0706,0.0311,1.03E-05,0.119,0.489,94.508,audio_features,7lKhRwHEPeGBhKeCcyXKGC,spotify:track:7lKhRwHEPeGBhKeCcyXKGC,https://api.spotify.com/v1/tracks/7lKhRwHEPeGBhKeCcyXKGC,https://api.spotify.com/v1/audio-analysis/7lKhRwHEPeGBhKeCcyXKGC,145000,4
0.77,0.801,9,-4.182,0,0.0336,0.00375,2.81E-03,0.0515,0.725,130.76,audio_features,0Nk7bSn0MItonkR0GNs3mj,spotify:track:0Nk7bSn0MItonkR0GNs3mj,https://api.spotify.com/v1/tracks/0Nk7bSn0MItonkR0GNs3mj,https://api.spotify.com/v1/audio-analysis/0Nk7bSn0MItonkR0GNs3mj,233133,4
0.32,0.165,1,-16.274,0,0.0397,0.97,8.88E-01,0.0705,0.0385,70.559,audio_features,2pyaTMZGVzZgSmxhgMM4gS,spotify:track:2pyaTMZGVzZgSmxhgMM4gS,https://api.spotify.com/v1/tracks/2pyaTMZGVzZgSmxhgMM4gS,https://api.spotify.com/v1/audio-analysis/2pyaTMZGVzZgSmxhgMM4gS,190315,3
0.386,0.136,6,-9.267,1,0.0458,0.932,0.00E+00,0.0653,0.0976,67.016,audio_features,3cWI6Hj9LQ0MfMuhw9uSMc,spotify:track:3cWI6Hj9LQ0MfMuhw9uSMc,https://api.spotify.com/v1/tracks/3cWI6Hj9LQ0MfMuhw9uSMc,https://api.spotify.com/v1/audio-analysis/3cWI6Hj9LQ0MfMuhw9uSMc,225853,3
0.495,0.399,10,-11.45,1,0.0361,0.142,5.01E-04,0.0978,0.201,111.923,audio_features,02HDCt2AGoq5WMiCe5YZ9K,spotify:track:02HDCt2AGoq5WMiCe5YZ9K,https://api.spotify.com/v1/tracks/02HDCt2AGoq5WMiCe5YZ9K,https://api.spotify.com/v1/audio-analysis/02HDCt2AGoq5WMiCe5YZ9K,188761,4
0.438,0.489,0,-11.568,1,0.0465,0.0103,1.22E-05,0.442,0.182,136.077,audio_features,7r6xGsyES2DTacyP6O585i,spotify:track:7r6xGsyES2DTacyP6O585i,https://api.spotify.com/v1/tracks/7r6xGsyES2DTacyP6O585i,https://api.spotify.com/v1/audio-analysis/7r6xGsyES2DTacyP6O585i,125480,3
0.621,0.816,7,-4.077,1,0.0316,0.0695,5.59E-03,0.103,0.716,122.032,audio_features,0n0XAmYCMWlzj3W9VdMejw,spotify:track:0n0XAmYCMWlzj3W9VdMejw,https://api.spotify.com/v1/tracks/0n0XAmYCMWlzj3W9VdMejw,https://api.spotify.com/v1/audio-analysis/0n0XAmYCMWlzj3W9VdMejw,179393,4
0.551,0.594,11,-9.912,0,0.161,0.119,0.00E+00,0.535,0.507,89.524,audio_features,2zsa7Z6gCA5eBg0p9pbyLs,spotify:track:2zsa7Z6gCA5eBg0p9pbyLs,https://api.spotify.com/v1/tracks/2zsa7Z6gCA5eBg0p9pbyLs,https://api.spotify.com/v1/audio-analysis/2zsa7Z6gCA5eBg0p9pbyLs,213622,4
0.756,0.867,7,-3.626,1,0.162,0.155,2.85E-03,0.33,0.666,129.983,audio_features,22WV03i2lBbwNVCE1g671p,spotify:track:22WV03i2lBbwNVCE1g671p,https://api.spotify.com/v1/tracks/22WV03i2lBbwNVCE1g671p,https://api.spotify.com/v1/audio-analysis/22WV03i2lBbwNVCE1g671p,156780,4
