episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_secs,time_signature
"Sex Education S1E1 - ""Episode 1""",Love You So Bad,Ezra Furman,5141H4ftZMaTJIuMOhJ5J3,0.873,0.431,A,-14.56,TRUE,0.0965,0.615,2.76E-02,0.104,0.749,135.078,219,4
"Sex Education S1E1 - ""Episode 1""",Dr Jekyll & Mr Hyde,Ezra Furman,5C1sp58a5g9a4YZanB81Vi,0.534,0.462,E,-7.717,TRUE,0.0264,0.47,2.49E-06,0.0967,0.272,101.02,227,4
"Sex Education S1E2 - ""Episode 2""",Restless Year,Ezra Furman,7lKhRwHEPeGBhKeCcyXKGC,0.689,0.947,A,-4.099,TRUE,0.0706,0.0311,1.03E-05,0.119,0.489,94.508,145,4
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",The Walker,Fitz and The Tantrums,0Nk7bSn0MItonkR0GNs3mj,0.77,0.801,A,-4.182,FALSE,0.0336,0.00375,2.81E-03,0.0515,0.725,130.76,233,4
"Game of Thrones S8E2 - ""A Knight of the Seven Kingdoms""",Jenny of Oldstones (Game of Thro,Florence + the Machine,2pyaTMZGVzZgSmxhgMM4gS,0.32,0.165,"C♯,D♭",-16.274,FALSE,0.0397,0.97,8.88E-01,0.0705,0.0385,70.559,190,3
"Grey's Anatomy S15E19 - ""Silent All These Years""",Lost Without You,Freya Ridings,3cWI6Hj9LQ0MfMuhw9uSMc,0.386,0.136,"F♯,G♭",-9.267,TRUE,0.0458,0.932,0.00E+00,0.0653,0.0976,67.016,226,3
"Lucifer S4E10 - ""Who's da New King of Hell?""",Hallelujah,FVR DRMS,02HDCt2AGoq5WMiCe5YZ9K,0.495,0.399,"A♯,B♭",-11.45,TRUE,0.0361,0.142,5.01E-04,0.0978,0.201,111.923,189,4
"Stranger Things S3E8 - ""Chapter Eight: The Battle of Starcourt""",Never Ending Story,"Gaten Matarazzo, Gabriella Pizzolo",7r6xGsyES2DTacyP6O585i,0.438,0.489,C,-11.568,TRUE,0.0465,0.0103,1.22E-05,0.442,0.182,136.077,125,3
"The Umbrella Academy S1E5 - ""Number Five""",Happy Together (feat. Ray Toro),"Gerard Way, Ray Toro",0n0XAmYCMWlzj3W9VdMejw,0.621,0.816,G,-4.077,TRUE,0.0316,0.0695,5.59E-03,0.103,0.716,122.032,179,4
"Euphoria S1E1 - ""Pilot""",I Know There's Gonna Be (Good Ti,"Jamie xx, Young Thug, Popcaan",2zsa7Z6gCA5eBg0p9pbyLs,0.564,0.594,B,-9.912,FALSE,0.155,0.119,0.00E+00,0.536,0.507,89.394,214,4
"Euphoria S1E6 - ""The Next Episode""",151 Rum,JID,22WV03i2lBbwNVCE1g671p,0.756,0.867,G,-3.626,TRUE,0.162,0.155,2.85E-03,0.33,0.666,129.983,157,4
"The Umbrella Academy S1E5 - ""Number Five""","Symphony No. 7 in A major, Op. 9","Johannes Walter, European Festival Orchestra",3p8QDe40s3FI3aUQUxmDAk,0.245,0.0153,E,-27.22,FALSE,0.0397,0.934,1.97E-01,0.082,0.0751,137.12,518,4
"Euphoria S1E1 - ""Pilot""",I'm Gone,"Jozzy, Tommy Genesis",0UsD5SCb1OPZQ6tXJxeFA3,0.852,0.723,F,-4.008,FALSE,0.0713,0.417,0.00E+00,0.108,0.326,85.029,146,4
"Grey's Anatomy S15E22 - ""Head Over High Heels""",Say Something,Kadiatou,1cklFKuIR5cxSX0zSisF2p,0.393,0.146,D,-9.884,TRUE,0.0335,0.868,0.00E+00,0.0983,0.0793,140.56,224,3
"Trinkets (aka Gatunas) S1E6 - ""Rearview Mirror""",King of Shadow,Kat Cunning,5gvNoZjNliTlO4H2H3D0hn,0.591,0.547,D,-8.596,FALSE,0.0284,0.126,0.00E+00,0.174,0.253,116.017,196,4
"The Handmaid's Tale S3E11 - ""Liars""",Cloudbusting,Kate Bush,5atQ2haKP5LT65WM0KUts3,0.68,0.248,"C♯,D♭",-17.465,FALSE,0.0328,0.696,8.88E-06,0.0839,0.812,112.806,310,4
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",I'm Not In Love,Kelsey Lu,7InHgiDyJ0GtvnIVslWNPK,0.191,0.441,E,-13.191,TRUE,0.0751,0.588,9.93E-02,0.11,0.0409,86.073,414,3
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",World on Fire,Klergy,5bv87T8PtI8c1KSUn2QRsz,0.265,0.305,B,-10.954,FALSE,0.0359,0.37,2.14E-02,0.111,0.0677,131.591,227,4
"Lucifer S4E9 - ""Save Lucifer""",The End,Klergy,4b7hM5zVEYICRZYa1PvIf0,0.476,0.47,G,-8.893,FALSE,0.0365,0.577,1.85E-02,0.112,0.244,148.159,211,3
"Lucifer S4E7 - ""Devil Is as Devil Does""",Caught in the Fire,Klergy,15mbNyhZQdGkG7Z0J1DcUP,0.51,0.43,A,-10.597,FALSE,0.0428,0.624,6.03E-02,0.111,0.0888,127.926,246,4
"Euphoria S1E7 - ""The Trials and Tribulations of Trying to Pee While Depressed""",When I R.I.P.,Labrinth,2t16D9V5FmmRAJjsSpwvZf,0.394,0.551,"G♯,A♭",-6.456,FALSE,0.213,0.73,1.66E-03,0.0907,0.451,79.65,175,1
"Euphoria S1E4 - ""Shook One Pt. II""",Mount Everest,Labrinth,18wCJcoFmXZ0jfrFhF6cYS,0.46,0.426,C,-7.286,FALSE,0.218,0.232,7.54E-02,0.0847,0.432,88.802,157,4
"Euphoria S1E2 - ""Stuntin' Like My Daddy""",Still Don't Know My Name,Labrinth,6N22FZs2ZhPBYi3b9XPajV,0.314,0.63,F,-5.963,TRUE,0.116,0.471,2.66E-01,0.205,0.312,88.244,153,1
"Euphoria S1E1 - ""Pilot""",Forever,Labrinth,6potEImiklXkwD9qFzpu15,0.557,0.459,E,-7.781,FALSE,0.0321,0.919,7.22E-01,0.11,0.189,79.916,203,4
"Euphoria S1E8 - ""And Salt the Earth Behind You""",All For Us - from the HBO Origin,"Labrinth, Zendaya",10hMM5nsZQf66ldBlgWBfG,0.348,0.652,"D♯,E♭",-7.145,TRUE,0.0931,0.0165,2.64E-04,0.33,0.172,70.956,193,4
"This is Us S3E13 - ""Our Little Island Girl""",Say a Little Prayer - Live,Lianne La Havas,1ZczOoLuCyDO5dKUPndxf5,0.492,0.326,E,-6.416,FALSE,0.0505,0.84,0.00E+00,0.696,0.376,112.218,204,4
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",Phantom of the Opera Medley,Lindsey Stirling,3Is0kAKFOdUIlMQCSOOX7B,0.232,0.598,D,-7.133,TRUE,0.0551,0.169,7.10E-03,0.648,0.0998,158.135,447,4
"Euphoria S1E6 - ""The Next Episode""",Chain,Lolo Zouaï,0dTAXSZZYf7YTKV1vtTlBz,0.696,0.404,G,-10.662,FALSE,0.0417,0.155,1.19E-02,0.228,0.116,120.057,182,4
"Big Mouth S3E3 - ""Cellsea""",Phone Down (feat. Emily Warren),"Lost Kings, Emily Warren, Justice Skolnik",7MuwqAnrSPwzRvb8lRLjyv,0.631,0.689,C,-5.118,TRUE,0.036,0.0295,0.00E+00,0.372,0.34,144.007,190,4
