episode,song,artist,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,synced
"Lucifer S4E10 - ""Who's da New King of Hell?""",My Love Will Never Die,"AG, Claire Wyndham",15l4UEZ7f3Ybm1bTA10iAF,0.274,0.295,G,-14.627,TRUE,0.0444,0.144,0.00459,0.0866,0.0551,137,3,YES
"The Umbrella Academy S1E7 - ""The Day That Was""",Exit Music (For a Film),Radiohead,0s0lnAIcclHVjQ4fITlOoU,0.355,0.296,G,-10.074,TRUE,0.0321,0.148,0.13,0.644,0.205,121,4,YES
"Euphoria S1E4 - ""Shook One Pt. II""",New Generation,The Universals,35dBml5K6yTShOa3h3lugq,0.692,0.696,G,-10.526,FALSE,0.139,0.149,0.0614,0.212,0.95,90,4,YES
"All American S1E10 - ""m.A.A.d. city""",I'd Never Give You Pain (feat. K,"Cre8v Media Group, LLC",6xWXL3EQYuGBqwRBGy8bAp,0.361,0.349,"F♯,G♭",-8.341,FALSE,0.0548,0.155,0,0.116,0.351,78,4,YES
"Euphoria S1E6 - ""The Next Episode""",151 Rum,JID,22WV03i2lBbwNVCE1g671p,0.756,0.867,G,-3.626,TRUE,0.162,0.155,0.00285,0.33,0.666,129,4,YES
"Euphoria S1E6 - ""The Next Episode""",Chain,Lolo Zouaï,0dTAXSZZYf7YTKV1vtTlBz,0.696,0.404,G,-10.662,FALSE,0.0417,0.155,0.0119,0.228,0.116,120,4,YES
N/A,Your Song,Rita Ora,4c2W3VKsOFoIg2SFaO6DY,0.855,0.624,"C♯,D♭",-4.093,NA,0.0488,0.158,0,0.0513,0.962,117,4,NO
N/A,Don't Let Me Down,The Chainsmokers,0QsvXIfqM0zZoerQfsI9l,0.542,0.859,B,-5.651,NA,0.197,0.16,0.00466,0.137,0.403,159,4,NO
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",Picture Book (Stereo Mix),The Kinks,0p85tj9Uvo1CuHSfmAy4X3,0.83,0.954,C,-6.835,TRUE,0.0308,0.167,0.000204,0.253,0.97,121,4,YES
"The Umbrella Academy S1E1 - ""We Only See Each Other at Weddings and Funerals""",Phantom of the Opera Medley,Lindsey Stirling,3Is0kAKFOdUIlMQCSOOX7B,0.232,0.598,D,-7.133,TRUE,0.0551,0.169,0.0071,0.648,0.0998,158,4,YES
"Lucifer S4E3 - ""O, Ye of Little Faith, Father""",Glory Box,Portishead,3Ty7OTBNSigGEpeW2PqcsC,0.51,0.434,"C♯,D♭",-10.004,TRUE,0.0361,0.177,0.516,0.0603,0.207,119,4,YES
N/A,Congratulations,Post Malone,3a1lNhkSLSkpJE4MSHpDu,0.627,0.812,"F♯,G♭",-4.215,NA,0.0358,0.198,0,0.212,0.504,123,4,NO
N/A,Young Dumb & Broke,Khalid,5Z3GHaZ6ec9bsiI5Benrb,0.798,0.539,"C♯,D♭",-6.351,NA,0.0421,0.199,0.000017,0.165,0.394,136,4,NO
N/A,Despacito (Featuring Daddy Yankee),Luis Fonsi,4aWmUDTfIPGksMNLV2rQP,0.66,0.786,D,-4.757,NA,0.17,0.209,0,0.112,0.846,177,4,NO
